"Product Name"|SKU|Category|Price|"Product URL"|Manufacturer|Image|"In Stock"|"Delivery Cost"
"Tibo Choros Porta"|porta|"Högtalare / Aktiva högtalare"|1098.0000|https://hifi-freaks.se/tibo-choros-porta.html|TIBO|https://hifi-freaks.se/media/catalog/product/n/e/new_choros_porta.99.jpg|Ja|
"Tibo Choros 2"|choros2|"Högtalare / Aktiva högtalare"|899.0000|https://hifi-freaks.se/tibo-choros-2.html|TIBO|https://hifi-freaks.se/media/catalog/product/t/o/top_choros2.jpg|Ja|
"Tibo Choros 4"|choros4|"Högtalare / Aktiva högtalare"|2499.0000|https://hifi-freaks.se/tibo-choros-4.html|TIBO|https://hifi-freaks.se/media/catalog/product/t/o/top_choros4.jpg|Ja|
"Tibo Choros 6"|tibo6|"Högtalare / Aktiva högtalare"|2799.0000|https://hifi-freaks.se/tibo-choros-6.html|TIBO|https://hifi-freaks.se/media/catalog/product/5/7/57734_2_.jpg|Ja|
"Earthquake CM8Dual"|cm8dual|"Högtalare / Inbyggnadshögtalare"|1199.0000|https://hifi-freaks.se/earthquake-cm8dual.html||https://hifi-freaks.se/media/catalog/product/c/m/cm-8dual_03-1024x683.jpg|Ja|
"Wharfedale 11.CS"|11cs|"Högtalare / Centerhögtalare"|2099.0000|https://hifi-freaks.se/wharfedale-11-cs.html|Wharfedale|https://hifi-freaks.se/media/catalog/product/w/0/w00112_20170630213223_1830.jpg|Ja|
"Densen B-310 Anniversary "|b-310|"Stereo / Förstärkare"|10999.0000|https://hifi-freaks.se/densen-b-310-anniversary.html||https://hifi-freaks.se/media/catalog/product/t/o/top_densenb30x_1_1_1_1.jpg|Ja|
"Wharfedale CDP 1600"|w1600|"Stereo / Förstärkare"|4499.0000|https://hifi-freaks.se/wharfedale-cdp-1600.html|Wharfedale|https://hifi-freaks.se/media/catalog/product/c/p/cpd1600front_1.jpg|Ja|
"Wharfedale CDP 2600"|cd2600|"Stereo / Förstärkare"|3199.0000|https://hifi-freaks.se/wharfedale-cdp-2600.html|Wharfedale|https://hifi-freaks.se/media/catalog/product/c/d/cdp2600front.jpg|Ja|
"Wharfedale CDP 3600"|3600|"Stereo / Förstärkare"|4099.0000|https://hifi-freaks.se/wharfedale-cdp-3600.html|Wharfedale|https://hifi-freaks.se/media/catalog/product/c/d/cdp3600_top.jpg|Ja|
